ImageId,CellId,Cell_10_FAP,Cell_11_ITGA11,Cell_12_FOXP3,Cell_13_CD4,Cell_14_ECad,Cell_15_CD68,Cell_16_CD20,Cell_17_CD8,Cell_18_TenascinC,Cell_19_GranzymeB,Cell_1_aSMA,Cell_20_Ki67,Cell_21_Collagen1,Cell_22_FSP1,Cell_23_CD146,Cell_24_CD90,Cell_25_DNA1,Cell_26_DNA,Cell_2_EGFR,Cell_3_Podoplanin,Cell_4_YAP1,Cell_5_Caveolin,Cell_6_CD16,Cell_7_CD163,Cell_8_CD140b,Cell_9_CD31,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7
65535,1017,0.162162154912949,0,0.0540540553629398,0.0270270276814699,0.459459453821182,0.297297298908234,0,0.10810811072588,0.189189195632935,0.0810810774564743,0.648648619651794,0,11.6486482620239,15.7297296524048,0,9.86486530303955,332.054046630859,592.891906738281,0,0.0270270276814699,0.297297298908234,0.0540540553629398,1,0.10810811072588,0.918918907642365,0.0810810774564743,37,0.582701146602631,1,0.88095235824585,1,18.7070007324219,7.69938516616821,6.25718641281128,24.0533771514893,659.783813476563,323.45947265625,1,3,991,1008,1024,0,0,0,0
65535,1018,0.0277777779847384,0,0.0277777779847384,0.0694444477558136,0.152777776122093,0.305555552244186,0,0.0277777779847384,0.0694444477558136,0.138888895511627,0.319444447755814,0,9.45833301544189,2.05555558204651,0.16666667163372,6.98611116409302,104.638885498047,185.25,0.0416666679084301,0,0.152777776122093,0.430555552244186,0,0,2.02777767181396,3.05555558204651,72,0.827387630939484,0.972972989082336,0.75,1,28.9290008544922,12.8729791641235,7.22986745834351,19.7749481201172,779.694458007813,323.430541992188,0,0,0,0,0,0,0,0,0
65535,1019,0.0617283955216408,0,0.0493827164173126,0.0617283955216408,0.135802462697029,0.222222223877907,0,0.135802462697029,0.234567895531654,0.259259253740311,5.44444465637207,0.0123456791043282,12.6049385070801,2.55555558204651,0,8.59259223937988,167.716049194336,296.592590332031,0.358024686574936,0,0.308641970157623,0.185185179114342,0.222222223877907,0.0987654328346252,2.09876537322998,0.0123456791043282,81,0.662971496582031,0.975903630256653,0.75,1,29.5,11.8190059661865,8.84823608398438,-4.82918262481689,178.518524169922,323.950622558594,0.236842105263158,1,1052,0,0,0,0,0,0
65535,1020,0.172413796186447,0,0.0344827584922314,0.0517241396009922,0.241379305720329,0.0862068980932236,0,0.0344827584922314,0.517241358757019,0.137931033968925,5.74137926101685,0.25862067937851,14.1379308700562,1.53448271751404,0,10.0172414779663,307.862060546875,550.896545410156,0.655172407627106,0,0.431034475564957,0.103448279201984,0.534482777118683,0,2.03448271751404,0.0344827584922314,58,0.771499216556549,0.98305082321167,0.828571438789368,1,24.8929996490479,10.8574113845825,6.90781402587891,15.613429069519,146.586212158203,325.086212158203,0.866666666666667,3,998,1043,1047,0,0,0,0
65535,1021,0.0882352963089943,0,0,0.147058829665184,0.147058829665184,0.529411792755127,0,0.0294117648154497,0.0588235296308994,0.147058829665184,1.88235294818878,0.0294117648154497,9.76470565795898,3.70588231086731,0,8.47058868408203,192.29411315918,346.176483154297,0.0882352963089943,0,0.264705896377563,0.117647059261799,0,0,2.05882358551025,0.0294117648154497,34,0.76342910528183,1,0.850000023841858,1,18.0620002746582,8.26755046844482,5.33994150161743,-6.15860509872437,455.323516845703,325.088226318359,0,0,0,0,0,0,0,0,0
65535,1022,0.0675675645470619,0,0,0.013513513840735,0.10810811072588,0.364864856004715,0.013513513840735,0.0270270276814699,0.175675675272942,0.10810811072588,0.648648619651794,0,11.972972869873,3.04054045677185,0,7.68918895721436,198.554046630859,360.527038574219,0.0810810774564743,0.013513513840735,0.162162154912949,0.175675675272942,0.013513513840735,0,2.91891884803772,0,74,0.918196499347687,0.925000011920929,0.704761922359467,1,32.757999420166,15.7374286651611,6.23399257659912,9.43298244476318,708.189208984375,325.081085205078,0.717948717948718,2,1001,1039,0,0,0,0,0
65535,1023,0.0810810774564743,0,0.10810811072588,0.0540540553629398,0.10810811072588,0.405405402183533,0,0,1,0.297297298908234,4.62162160873413,0,13.6486482620239,5.37837839126587,0,11.0810813903809,225.729736328125,401.405395507813,0.378378391265869,0.0270270276814699,0.648648619651794,0.189189195632935,0.0270270276814699,0.0810810774564743,1.54054057598114,0,37,0.780454754829407,0.948717951774597,0.685185194015503,1,19.9559993743896,8.85339736938477,5.53525304794312,-12.203405380249,625.486511230469,325.621612548828,0.52,1,1004,0,0,0,0,0,0
65535,1024,0.0588235296308994,0,0.0588235296308994,0.0392156876623631,0.137254908680916,0.117647059261799,0,0.0588235296308994,0.0392156876623631,0,1.17647063732147,0,12.6862745285034,4.66666650772095,0,6.64705896377563,173.647064208984,318.686279296875,0.196078434586525,0,0.254901975393295,0.0980392172932625,0.431372553110123,0.117647059261799,1.72549021244049,0,51,0.718176960945129,0.944444417953491,0.708333313465118,1,23.048999786377,9.77270126342773,6.80043697357178,38.3654022216797,665.921569824219,325.647064208984,0.466666666666667,2,992,1017,0,0,0,0,0
65535,1025,0.0879120901226997,0,0.0439560450613499,0.0879120901226997,0.296703308820724,0.10989011079073,0,0.032967034727335,1.70329666137695,0.395604401826859,5.42857122421265,5.93406581878662,13.8241758346558,2.76923084259033,0,10.9010992050171,190.97802734375,345.285705566406,0.208791211247444,0.0109890112653375,0.52747255563736,0.274725288152695,0.0439560450613499,0,2.46153855323792,0.0109890112653375,91,0.483211845159531,0.957894742488861,0.758333325386047,1,31.7409992218018,11.5991039276123,10.1550559997559,19.436674118042,13.0439558029175,326.516479492188,0.871794871794872,4,993,995,1041,1063,0,0,0
65535,1026,0.107142858207226,0,0.0535714291036129,0.0178571436554194,0.196428567171097,0.321428567171097,0.0178571436554194,0.0357142873108387,0.0535714291036129,0.375,6.76785707473755,0,12.6785717010498,1.76785719394684,0,6.6607141494751,121.160713195801,218.875,0.625,0.0178571436554194,0.196428567171097,0.0178571436554194,0.0535714291036129,0,1.83928573131561,0.0535714291036129,56,0.831453144550323,0.965517222881317,0.848484873771667,1,25.44700050354,11.4303302764893,6.35063314437866,-86.6751480102539,286.589294433594,325.839294433594,0.633333333333333,2,989,1048,0,0,0,0,0
