ImageId,CellId,Cell_10_FAP,Cell_11_ITGA11,Cell_12_FOXP3,Cell_13_CD4,Cell_14_ECad,Cell_15_CD68,Cell_16_CD20,Cell_17_CD8,Cell_18_TenascinC,Cell_19_GranzymeB,Cell_1_aSMA,Cell_20_Ki67,Cell_21_Collagen1,Cell_22_FSP1,Cell_23_CD146,Cell_24_CD90,Cell_25_DNA1,Cell_26_DNA,Cell_2_EGFR,Cell_3_Podoplanin,Cell_4_YAP1,Cell_5_Caveolin,Cell_6_CD16,Cell_7_CD163,Cell_8_CD140b,Cell_9_CD31,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8
65535,465,0.00917431153357029,0,0.0733944922685623,0.027522936463356,7.68807315826416,1.44954133033752,0,0.13761468231678,0,0.587155938148499,0.376146793365479,0.0366972461342812,0.165137618780136,0.0917431190609932,0.0183486230671406,0.284403681755066,234.082565307617,421.504577636719,4.22018337249756,0.0366972461342812,0.0825688093900681,0.00917431153357029,0.0917431190609932,0,0.458715587854385,0.100917428731918,109,0.636455178260803,0.900826454162598,0.762237787246704,1,37.6040000915527,13.8372144699097,10.672833442688,82.9840469360352,737.743103027344,111.926605224609,0.818181818181818,2,473,479,0,0,0,0,0,0
65535,466,0,0,0.0609756112098694,0.0731707289814949,1.21951222419739,0.14634145796299,0.0121951214969158,1.76829266548157,0,1.59756100177765,0.97560977935791,0.195121943950653,0.353658527135849,1.9146341085434,0.658536612987518,0.14634145796299,254.048782348633,449.975616455078,0.085365854203701,0,0.0121951214969158,0.743902444839478,3.54878044128418,0,0.317073166370392,2.8048779964447,82,0.533422529697418,0.94252872467041,0.759259283542633,1,30.6079998016357,11.1914625167847,9.46628665924072,83.1915740966797,53.9878044128418,112.5,0.777777777777778,4,412,424,455,504,0,0,0,0
65535,467,0.0754716992378235,0,0.0377358496189117,0.169811323285103,0.113207548856735,0.792452812194824,0,0.0377358496189117,0,0.22641509771347,0.415094345808029,0,6.22641515731812,1.94339621067047,0.245283022522926,2.03773593902588,130.528305053711,236.490570068359,0.150943398475647,0.0754716992378235,0.396226406097412,0,0.584905683994293,2.11320757865906,0.132075473666191,0.113207548856735,53,0.537348091602325,0.963636338710785,0.828125,1,23.2059993743896,9.03748416900635,7.62185764312744,-43.6848945617676,614.584899902344,112.773582458496,0.642857142857143,3,475,494,498,0,0,0,0,0
65535,468,0,0,0.0416666679084301,0.0416666679084301,1.81944441795349,0.333333343267441,0,0.0833333358168602,0.0138888889923692,0.305555552244186,4.91666650772095,0.0138888889923692,1.19444441795349,0.111111111938953,0.861111104488373,0.430555552244186,227.444442749023,407.347229003906,1.16666662693024,0,0.125,1.73611116409302,0.0277777779847384,0,0.430555552244186,3.75,72,0.529700994491577,0.972972989082336,0.720000028610229,1,28.0030002593994,10.5054445266724,8.91055488586426,-52.9213180541992,356.027770996094,112.486114501953,0.542857142857143,3,421,480,510,0,0,0,0,0
65535,469,0,0,0,0,7.71052646636963,0.473684221506119,0,0.0526315793395042,0,0.263157904148102,0.131578952074051,0.368421047925949,0.552631556987762,0,0,0.0789473652839661,137.868423461914,243.605270385742,1.65789473056793,0,0,0.131578952074051,0,0,0.210526317358017,1.63157892227173,38,0.431118935346603,0.949999988079071,0.775510191917419,1,19.1949996948242,7.47393131256104,6.74369192123413,-38.3674850463867,589,113.131576538086,0.958333333333333,5,420,441,478,501,511,0,0,0
65535,470,0.0101010100916028,0,0.0909090936183929,0.0202020201832056,4.47474765777588,1.25252521038055,0.0101010100916028,0.0909090936183929,0,0.363636374473572,0.232323229312897,0,0.767676770687103,0.111111111938953,0.0101010100916028,0.313131302595139,220.555557250977,396.010101318359,2.85858583450317,0.0505050495266914,0.121212124824524,0.0101010100916028,0.141414135694504,0.101010099053383,0.333333343267441,0.0505050495266914,99,0.517031073570251,0.933962285518646,0.75,1,33.7999992370605,12.2641839981079,10.4977321624756,86.1524124145508,707.050476074219,113.131309509277,0.976190476190476,5,423,446,458,487,488,0,0,0
65535,471,0.0128205129876733,0.0512820519506931,0.141025647521019,0.0769230797886848,9.97435855865479,0.67948716878891,0,0.269230782985687,0,0.128205135464668,0.384615391492844,0.0128205129876733,1.25641024112701,0.16666667163372,0.282051295042038,0.269230782985687,119.653846740723,216.602569580078,8.08974361419678,0.0128205129876733,0.0769230797886848,0.551282048225403,0.0256410259753466,0,0.230769231915474,17.0769233703613,78,0.914417922496796,0.876404523849487,0.649999976158142,1,34.8339996337891,16.0789756774902,6.50830841064453,72.7698593139648,91.3846130371094,114.538459777832,0.595238095238095,2,426,524,0,0,0,0,0,0
65535,472,0.00961538497358561,0.0192307699471712,0.0576923079788685,0.0673076957464218,0.105769231915474,0.298076927661896,0,0.0769230797886848,0,0.0865384638309479,0.346153855323792,0,4.0288462638855,3.46153855323792,2.01923084259033,1.88461542129517,256.201934814453,462.144226074219,0.298076927661896,0.192307695746422,0.721153855323792,0.567307710647583,0.259615391492844,0.0865384638309479,0.980769217014313,2.08653855323792,104,0.711552500724792,0.9454545378685,0.727272748947144,1,36.148998260498,14.101016998291,9.90783882141113,69.2358093261719,414.057678222656,112.653846740723,1,7,413,419,439,457,495,515,523,0
65535,473,0,0,0.131034478545189,0.0137931033968925,2.42758631706238,0.510344803333282,0.00689655169844627,0.0965517237782478,0.00689655169844627,0.0965517237782478,0.144827589392662,0.00689655169844627,0.124137930572033,0.131034478545189,0.0275862067937851,0.248275861144066,179.517242431641,317.16552734375,6.41379308700562,0,0.0827586203813553,0.0275862067937851,0,0,0.358620703220367,0.158620685338974,145,0.654520571231842,0.917721509933472,0.710784316062927,1,45.9739990234375,16.1882972717285,12.2390670776367,-74.9502792358398,747.83447265625,112.29655456543,0.589285714285714,2,407,465,0,0,0,0,0,0
65535,474,0,0,0.10416666418314,0.03125,13.6979169845581,0.729166686534882,0.0104166669771075,0.10416666418314,0,0.25,0.354166656732559,0.0625,0.34375,0.0729166641831398,0.0625,0.40625,155.10417175293,276.395843505859,5.40625,0.0104166669771075,0.385416656732559,0.0416666679084301,0.0208333339542151,0,0.395833343267441,0.0729166641831398,96,0.239828810095787,0.959999978542328,0.793388426303864,1,32.2949981689453,11.3208036422729,10.9904079437256,-89.3792266845703,566.052062988281,114.104164123535,0.875,3,415,484,517,0,0,0,0,0
